Sample,Dry Season Mineral Weathering Rate,Wet Season Mineral Weathering Rate,Dry Season Biomass Degradation Rate,Wet Season Biomass Degradation Rate
1,15.17,79.3,27.35,100
2,15.34,135.4,12.65,98
3,10.33,895.2,10.02,885.3
4,0.15,370.2,100,316.4
5,10.48,"1,671.40",10.02,"6,286.50"
6,1.37,154.4,10.08,115.1
7,1.67,163.7,10,100
8,85.34,410.44,118.99,603.06
9,183.2,881.06,255.42,1294.54
10,0.63,270.6,9.92,108.7
11,15,646.5,10,612.6
12,17.82,166.4,10.62,99.6
13,497.4,183.6,483.74,109.6
14,-,-,-,-
15,23.42,333.6,25.3,182.9
16,16.59,193.3,10.37,115
17,-,-,-,-
18,14,142,11.78,100
19,21.98,808.2,18.33,687.2
